Type,Name,Rating,Phone,Address,Website,Hours of Operation,Google Maps URL
bakery,Real Canadian Superstore 20th Avenue,4.1,(403) 280-8222,"3575 20 Ave NE, Calgary, AB T1Y 6R3, Canada",https://www.realcanadiansuperstore.ca/store-locator/details/1576?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,"[""Monday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Saturday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Sunday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJJQQKMM5kcVMRpJLOGvlXhac
bakery,Real Canadian Superstore Country Hills Boulevard,4.1,(403) 241-4027,"5251 Country Hills Blvd NW, Calgary, AB T3A 5H8, Canada",https://www.realcanadiansuperstore.ca/store-locator/details/1575?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,"[""Monday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Saturday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Sunday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJM94LKJdocVMRKFF10w4rKDg
bakery,Real Canadian Superstore 4th Street,4.1,(403) 516-8519,"7020 4 St NW, Calgary, AB T2K 1C4, Canada",https://www.realcanadiansuperstore.ca/store-locator/details/1545?utm_source=G&utm_medium=LPM&utm_campaign=Loblaws,"[""Monday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Saturday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Sunday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJ1Ua2CMRlcVMReaCcji1SzdA
bakery,Tim Hortons,3.9,(403) 284-0349,"1820b Uxbridge Dr NW, Calgary, AB T2N 3Z1, Canada",http://locations.timhortons.ca/ab/calgary/1820b-uxbridge-rd-nw,"[""Monday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Tuesday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Wednesday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Thursday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Friday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Saturday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Sunday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJvSK2sahvcVMRD2rXwD_jtOA
bakery,Tim Hortons,3.4,(403) 287-7780,"3840 Macleod Trail SE, Calgary, AB T2G 2R2, Canada",https://locations.timhortons.ca/en/ab/calgary/3840-macleod-trail-se/,"[""Monday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Tuesday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Wednesday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Thursday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Friday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Saturday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM"", ""Sunday: 5:00\u202fAM\u2009\u2013\u200911:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJK9pQ9mpwcVMRyJr1i0PrNN4
bakery,Jelly Modern Doughnuts,4.2,(403) 453-2053,"1414 8 St SW, Calgary, AB T2R 1J6, Canada",http://jellymoderndoughnuts.com/,"[""Monday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Sunday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJE1gP5B9wcVMR5dKmD-FyLv8
bakery,Tim Hortons,3.3,(403) 398-5444,"444 5 Ave SW Unit 101, Calgary, AB T2P 2T8, Canada",https://locations.timhortons.ca/en/ab/calgary/444-5th-ave-sw/,"[""Monday: 6:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Tuesday: 6:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Wednesday: 6:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Thursday: 6:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Friday: 6:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Saturday: Closed"", ""Sunday: Closed""]",https://www.google.com/maps/place/?q=place_id:ChIJnZP7jvVwcVMRBhvtGZh2O2E
bakery,Tim Hortons,3.2,(403) 243-7028,"723 46 Ave SE Unit 100, Calgary, AB T2G 2A4, Canada",https://locations.timhortons.ca/en/ab/calgary/723-46-ave-se/,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",https://www.google.com/maps/place/?q=place_id:ChIJySORLmRwcVMR_lBnNKRECkQ
bakery,Sobeys - Strathcona Square,4.2,(403) 242-0644,"555 Strathcona Blvd SW #300, Calgary, AB T3H 2Z9, Canada",http://www.sobeys.com/en/stores/sobeys-strathcona-square/?utm_source=G&utm_medium=lpm&utm_campaign=Sobeys,"[""Monday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Saturday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Sunday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJQxfd53BucVMRvKt0vcvLHVs
bakery,Sobeys - Country Hills,4.1,(403) 226-5500,"500 Country Hills Blvd NE #200, Calgary, AB T3K 4Y7, Canada",http://www.sobeys.com/en/stores/sobeys-country-hills/?utm_source=G&utm_medium=lpm&utm_campaign=Sobeys,"[""Monday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Tuesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Wednesday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Thursday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Friday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Saturday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM"", ""Sunday: 7:00\u202fAM\u2009\u2013\u200910:00\u202fPM""]",https://www.google.com/maps/place/?q=place_id:ChIJm2I2cZNmcVMRBcY1MsaIH5c
